prefill_qo_len,prefill_kv_len,decode_qo_len,decode_kv_len,count,mean,std,variance,min,max,cv
131072,131072,4,16384,3,0.49947733333333333,0.06457779449108905,0.004170291541333332,0.425408,0.543968,12.929074087745052
32768,32768,0,0,6,0.23816533333333334,0.06380480847919434,0.004071053585066669,0.17296,0.330176,26.79013253499146
512,1974,40,20480,2,0.153264,0.06324363050932481,0.0039997568,0.108544,0.197984,41.264504689986104
0,0,4,32768,7,0.36976914285714285,0.06007441774840205,0.003608935667809523,0.32912,0.501888,16.246465907882644
6144,6144,6,24576,2,0.42691199999999996,0.059374342202671994,0.0035253125119999967,0.384928,0.468896,13.907864428445238
0,0,3,24576,7,0.37846857142857143,0.058990873663805385,0.0034799231756190477,0.306304,0.460032,15.586729811025283
28672,17101,32,16384,3,0.20532266666666668,0.05817858153421525,0.0033847473493333314,0.170272,0.27248,28.335196717628207
28672,8358,2,32768,2,0.37507199999999996,0.05751889400883852,0.0033084231679999998,0.3344,0.415744,15.335427329553553
6144,8577,5,20480,2,0.40470399999999995,0.05602548448697259,0.0031388549120000063,0.3650879999999999,0.44432,13.843570726538168
6144,6144,24,24576,2,0.238224,0.05188466717634411,0.002692018688,0.201536,0.274912,21.77978169897421
8192,8192,6,24576,2,0.414512,0.051794157508352215,0.0026826347519999984,0.377888,0.451136,12.495213044702446
1024,1024,6,6144,3,0.09083733333333333,0.05130040488469202,0.002631731541333333,0.0576,0.14992,56.47502292913744
6144,10266,36,18432,3,0.30804266666666663,0.05043535352640377,0.0025437248853333295,0.265248,0.3636479999999999,16.372846676011633
1024,1024,5,20480,5,0.44354559999999993,0.04964802526586533,0.0024649264128000017,0.4015039999999999,0.499328,11.193443302035213
122880,28140,11,22528,2,0.206528,0.04955404322555326,0.002455603200000001,0.171488,0.241568,23.993861946835008
2048,7764,3,24576,2,0.710384,0.04817377078867709,0.002320712191999998,0.67632,0.744448,6.781370467507111
512,1070,82,20992,3,0.09281066666666664,0.04786965056623382,0.0022915034453333304,0.037536,0.12064,51.57774664692574
1024,2728,39,19968,5,0.17517439999999998,0.047678353797084884,0.002273225420799999,0.089888,0.19696,27.217649251184667
2048,2048,3,12288,2,0.24550399999999994,0.04760808536372782,0.0022665297919999953,0.21184,0.2791679999999999,19.391979497008542
1024,1024,3,24576,2,0.482272,0.04620518550985373,0.002134919167999997,0.4496,0.514944,9.58073151671111
122880,122880,6,24576,2,0.5204639999999999,0.04595628392287619,0.002111980032000009,0.4879679999999999,0.55296,8.829867947455796
6144,5436,7,14336,2,0.278336,0.045933656505878113,0.0021099007999999986,0.245856,0.310816,16.502952003828167
256,612,11,22528,2,0.172416,0.045888401671882184,0.0021057454079999997,0.139968,0.204864,26.614932283121778
32768,32768,2,8192,2,0.36249599999999993,0.044485501818008,0.001978959871999993,0.33104,0.3939519999999999,12.271997982249736
512,512,6,6144,2,0.114672,0.044417619567014156,0.001972924927999999,0.083264,0.14608,38.734494495848736
28672,9527,9,18432,2,0.222192,0.04428185506502636,0.001960882688000001,0.19088,0.253504,19.929545188439192
6144,6144,2,16384,2,0.62976,0.04249428912218671,0.0018057646079999957,0.599712,0.659808,6.747695807202588
2048,2048,11,22528,2,0.309904,0.0424716617051888,0.0018038420480000004,0.279872,0.339936,13.704780090442206
24576,24576,6,24576,2,0.404624,0.04233589720320094,0.0017923281919999972,0.374688,0.43456,10.463021766563012
1024,1024,12,24576,4,0.19464800000000002,0.04233050808420172,0.0017918719146666668,0.1456,0.23472,21.74720935352765
512,512,6,24576,4,0.36540799999999996,0.042232783221884236,0.0017836079786666664,0.32272,0.403392,11.557706238048027
32768,32768,5,20480,2,0.417344,0.042132250450219226,0.0017751265279999982,0.387552,0.447136,10.095329138582056
122880,122880,2,32768,2,0.985808,0.04088774251533099,0.0016718074880000056,0.956896,1.01472,4.147637522842516
512,512,8,16384,4,0.19831999999999994,0.03798819634219726,0.001443103061333329,0.164512,0.2355519999999999,19.155000162889404
256,2721,2,32768,2,0.800512,0.037425747714641494,0.0014006865919999928,0.7740480000000001,0.8269759999999999,4.675226318901686
1024,1024,48,24576,3,0.12061866666666665,0.03738748225453718,0.001397823829333333,0.077472,0.143456,30.996431362371297
1024,1043,2,32768,2,0.740256,0.0372899832126537,0.0013905428479999945,0.7138880000000001,0.766624,5.037444236536584
6144,6144,3,49152,2,1.01,0.036814807455696485,0.0013553300480000057,0.983968,1.036032,3.6450304407971736
2048,2086,3,49152,2,0.621184,0.03652065103472279,0.0013337579519999984,0.59536,0.647008,5.87920020941357
8192,8192,1,4096,2,0.241664,0.03611335752875936,0.0013041745920000004,0.216128,0.2672,14.943623176731222
6144,6144,2,8192,2,0.323712,0.03326230298701518,0.0011063807999999987,0.300192,0.347232,10.275276473142764
28672,28672,5,20480,2,0.565472,0.03199516763512887,0.001023690751999998,0.542848,0.588096,5.6581347315995725
32768,32768,6,24576,2,0.397616,0.03179152088214718,0.0010107008,0.375136,0.420096,7.995533598786679
28672,28672,1,16384,4,0.518288,0.03122787404440674,0.0009751801173333321,0.47248,0.5427839999999999,6.025197195069449
8192,13688,29,14848,3,0.34922666666666663,0.029925566683579038,0.0008955395413333357,0.3234559999999999,0.382048,8.569095527740325
